##########################################
## Diamond Lattice Energy, version 1.0  ##
##  Jonathan Goodman, jmg11@cam.ac.uk   ##
##       Mengman Wei, mw742@cam.ac.uk   ##
##   University of Cambridge, 2018-21   ##
##########################################
InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3
connectivity  1-3-5-7-6-4-2
list_of_connectivity  ['1', '3', '5', '7', '6', '4', '2']
4 rotatable bonds; 81 conformations
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 0 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 0])
Energy of 1 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 1])
Energy of 1 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 1])
Energy of 1 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 1])
Energy of 1 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 1])
Energy of 1 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 1])
Energy of 1 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 1])
Energy of 1 : 0 0 0 1 0 overall 2 array('i', [0, 0, 0, 1])
Energy of 2 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 2])
Energy of 2 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 2])
Energy of 2 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 2])
Energy of 2 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 2])
Energy of 2 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 2])
Energy of 2 : 0 0 0 0 0 overall 0 array('i', [0, 0, 0, 2])
Energy of 2 : 0 0 0 1 0 overall 2 array('i', [0, 0, 0, 2])
Energy of 3 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 0])
Energy of 3 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 0])
Energy of 3 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 0])
Energy of 3 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 0])
Energy of 3 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 0])
Energy of 3 : 0 0 0 1 0 overall 2 array('i', [0, 0, 1, 0])
Energy of 3 : 0 0 0 1 0 overall 2 array('i', [0, 0, 1, 0])
Energy of 4 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 1])
Energy of 4 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 1])
Energy of 4 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 1])
Energy of 4 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 1])
Energy of 4 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 1])
Energy of 4 : 0 0 0 1 0 overall 2 array('i', [0, 0, 1, 1])
Energy of 4 : 0 0 0 2 1 overall 2 array('i', [0, 0, 1, 1])
Energy of 5 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 2])
Energy of 5 : 0 0 0 0 0 overall 0 array('i', [0, 0, 1, 2])
